,index,1. open,2. high,3. low,4. close
108,2020-06-11,35.9000,37.88,35.1700,35.33
109,2020-06-10,39.8100,40.8,39.1300,39.19
110,2020-06-09,40.3100,40.94,39.3600,40.41
111,2020-06-08,43.5000,44.12,41.5300,42.21
112,2020-06-05,40.9500,42.01,40.4700,41.56
113,2020-06-04,38.2000,38.86,37.5300,38.04
114,2020-06-03,38.5000,39.22,38.1700,38.59
115,2020-06-02,37.0000,37.94,36.4800,37.72
116,2020-06-01,35.2500,36.83,34.3500,36.5
117,2020-05-29,34.7800,35.43,34.1100,35.14
118,2020-05-28,36.7000,36.7,34.9600,35.18
119,2020-05-27,37.7300,37.94,35.5600,36.58
120,2020-05-26,37.0900,37.48,36.6100,36.83
121,2020-05-22,35.5800,35.84,34.4400,35.57
122,2020-05-21,36.8100,37.42,35.3600,35.69
123,2020-05-20,35.3500,37.28,35.1500,36.82
124,2020-05-19,34.6000,35.38,33.0800,34.5
125,2020-05-18,32.3600,35.31,31.9800,34.95
126,2020-05-15,30.6500,31.26,29.8800,30.3
127,2020-05-14,30.0300,31.65,28.8200,30.89
128,2020-05-13,31.6900,32.55,30.2800,31.05
129,2020-05-12,33.0100,33.48,32.2100,32.21
130,2020-05-11,32.5000,33.09,32.0100,32.7
131,2020-05-08,31.6400,33.33,31.0800,33.03
132,2020-05-07,30.5100,31.45,30.0400,30.78
133,2020-05-06,31.1900,31.73,29.5100,29.53
134,2020-05-05,34.3000,34.4,30.7500,31.14
135,2020-05-04,28.5400,31.57,28.5200,31.53
136,2020-05-01,30.3000,30.79,28.8900,29.24
137,2020-04-30,33.1000,33.91,31.2100,32.08
138,2020-04-29,29.8000,33.32,29.5100,33.04
139,2020-04-28,27.2200,28.62,26.4600,28.43
140,2020-04-27,25.9900,26.58,25.0400,26.45
141,2020-04-24,26.2600,26.68,25.4000,25.76
142,2020-04-23,25.4500,26.89,25.1700,25.94
143,2020-04-22,24.9000,25.3,24.0900,24.69
144,2020-04-21,24.1800,25.08,23.0400,23.72
145,2020-04-20,23.4400,25.91,22.7500,24.85
146,2020-04-17,22.6100,25.5,22.4200,25.45
147,2020-04-16,24.0100,24.11,21.9000,21.95
148,2020-04-15,24.8100,24.81,23.5200,23.98
149,2020-04-14,25.3200,26.46,25.3200,26.3
150,2020-04-13,26.8000,26.8,24.7200,25.33
151,2020-04-09,26.0700,27.27,24.0300,25.63
152,2020-04-08,23.2500,25.28,23.1800,24.31
153,2020-04-07,25.3900,26.0,22.1000,22.51
154,2020-04-06,21.1600,23.53,21.0700,23.09
155,2020-04-03,22.4000,22.51,18.2700,20.06
156,2020-04-02,22.1900,24.8,20.9400,21.22
157,2020-04-01,21.9300,22.69,20.6500,20.87
158,2020-03-31,25.5300,25.64,22.6900,23.62
159,2020-03-30,22.8300,24.7,21.5000,24.33
160,2020-03-27,22.0500,23.93,20.6000,23.15
161,2020-03-26,22.2500,24.86,22.0800,23.14
162,2020-03-25,18.2500,22.33,16.5700,21.11
163,2020-03-24,17.9900,18.77,16.8300,17.5
164,2020-03-23,18.7100,18.82,16.5000,16.62
165,2020-03-20,17.6100,19.86,16.4300,18.95
166,2020-03-19,17.0100,17.77,15.2600,16.72
167,2020-03-18,18.6000,19.1,15.5800,16.75
168,2020-03-17,20.8300,21.75,18.4600,20.3
169,2020-03-16,20.5200,23.75,19.9900,20.29
170,2020-03-13,25.8400,26.29,22.7100,24.92
171,2020-03-12,28.1700,28.17,22.5000,22.89
172,2020-03-11,33.1100,34.14,29.4300,31.36
173,2020-03-10,36.0800,36.71,33.0400,34.52
174,2020-03-09,31.8900,37.25,30.7800,33.82
175,2020-03-06,40.1400,40.85,38.0500,39.15
176,2020-03-05,42.7000,42.79,39.6300,41.21
177,2020-03-04,46.1000,46.25,44.8100,45.88
178,2020-03-03,47.5300,48.25,44.8100,45.17
179,2020-03-02,47.8900,48.21,45.6900,47.73
180,2020-02-28,45.9300,47.53,45.0200,47.42
181,2020-02-27,50.6800,50.76,47.8400,47.93
182,2020-02-26,53.1100,54.46,52.0900,52.27
183,2020-02-25,56.0700,56.15,52.7800,53.12
184,2020-02-24,57.0000,57.01,55.2800,55.87
185,2020-02-21,59.9500,60.22,58.9300,59.13
186,2020-02-20,58.7000,60.35,58.2500,60.26
187,2020-02-19,56.6500,57.93,56.2900,57.69
188,2020-02-18,57.1800,57.3,56.3000,56.47
189,2020-02-14,59.4900,59.9,58.0500,58.33
190,2020-02-13,58.6900,60.07,58.3100,59.5
191,2020-02-12,58.2900,59.02,57.6500,58.93
192,2020-02-11,55.5500,57.16,55.0800,56.76
193,2020-02-10,54.3900,55.09,53.8900,55.07
194,2020-02-07,55.0000,55.41,54.5000,54.69
195,2020-02-06,55.8200,56.09,55.2800,55.46
196,2020-02-05,54.0100,55.74,54.0100,55.54
197,2020-02-04,53.3700,53.84,52.2400,53.39
198,2020-02-03,54.5400,54.7,52.0400,52.06
199,2020-01-31,53.9900,55.73,53.6500,54.5
200,2020-01-30,52.7800,54.62,52.7600,54.35
201,2020-01-29,54.6000,55.94,52.3600,53.59
202,2020-01-28,53.0200,53.67,52.2900,52.93
203,2020-01-27,53.1700,53.35,52.2500,52.7
204,2020-01-24,55.1400,55.28,53.9600,54.49
205,2020-01-23,55.4800,55.84,53.9500,55.33
206,2020-01-22,56.4900,56.49,55.8700,55.97
207,2020-01-21,56.4000,56.6,55.7000,56.18
208,2020-01-17,57.5400,57.61,56.5600,56.89
209,2020-01-16,58.4500,58.56,57.3000,57.53
210,2020-01-15,59.5300,59.69,57.7300,58.13
211,2020-01-14,59.4700,60.12,59.1300,59.84
212,2020-01-13,60.2600,60.49,59.3100,59.62
213,2020-01-10,59.6600,61.07,59.4300,60.22
214,2020-01-09,58.4200,59.42,57.9600,59.39
215,2020-01-08,58.9200,59.11,57.7900,58.52
216,2020-01-07,57.6800,59.17,57.2300,59.14
217,2020-01-06,57.7200,58.73,57.0200,58.22
218,2020-01-03,61.0600,61.36,58.1700,58.23
219,2020-01-02,60.8800,61.92,60.3800,61.91
220,2019-12-31,59.5000,60.35,59.0200,60.25
221,2019-12-30,60.3600,60.69,59.6200,59.67
222,2019-12-27,60.6900,60.85,60.0100,60.38
223,2019-12-26,61.0200,61.33,60.3400,60.47
224,2019-12-24,60.5900,61.0,60.3400,60.97
225,2019-12-23,61.4500,61.56,60.4700,60.66
226,2019-12-20,61.6800,62.14,61.0300,61.61
227,2019-12-19,61.0400,61.41,60.3200,61.13
228,2019-12-18,61.3400,61.83,60.7100,60.91
229,2019-12-17,60.9800,61.68,60.7500,61.21
230,2019-12-16,59.2100,61.59,58.9600,60.75
231,2019-12-13,59.2400,60.51,58.2700,58.61
232,2019-12-12,56.9800,59.15,56.8500,59.0
233,2019-12-11,58.6000,58.83,56.7100,57.11
234,2019-12-10,58.3300,59.04,57.7200,58.67
235,2019-12-09,59.1100,59.75,58.2000,58.43
236,2019-12-06,60.2700,61.0,60.1200,60.2
237,2019-12-05,60.1600,60.34,59.6100,59.85
238,2019-12-04,60.8500,60.99,59.9800,60.03
239,2019-12-03,60.0900,60.43,59.2400,60.03
240,2019-12-02,60.8800,61.52,60.4800,60.87
241,2019-11-29,61.2400,61.49,60.3900,60.64
242,2019-11-27,61.9300,62.26,60.9500,61.47
243,2019-11-26,62.5100,62.65,61.4000,61.67
244,2019-11-25,62.4600,63.06,62.1100,62.43
245,2019-11-22,63.3500,63.59,62.2600,62.36
246,2019-11-21,62.0600,63.32,61.9400,63.24
247,2019-11-20,61.7500,62.15,59.8200,61.8
248,2019-11-19,63.7800,63.89,61.7200,61.85
249,2019-11-18,64.5100,64.74,63.8800,64.54
250,2019-11-15,64.9200,65.29,64.3800,64.69
251,2019-11-14,64.4900,65.21,64.1600,64.45
252,2019-11-13,64.3000,64.9,63.7600,64.25
253,2019-11-12,65.9300,66.24,64.4100,64.9
254,2019-11-11,65.4400,66.45,65.0600,65.71
255,2019-11-08,65.8700,66.46,64.8700,66.23
256,2019-11-07,65.1100,66.82,64.9300,66.25
257,2019-11-06,66.0000,66.01,64.0800,64.28
258,2019-11-05,68.2200,68.73,66.1200,66.44
259,2019-11-04,66.9200,68.5,66.7200,67.94
260,2019-11-01,64.8500,66.83,64.7300,66.47
261,2019-10-31,66.6000,66.94,61.3800,63.95
262,2019-10-30,68.6900,68.89,65.1800,66.19
263,2019-10-29,67.7700,69.65,67.6100,68.02
264,2019-10-28,68.2900,68.59,67.2200,67.58
265,2019-10-25,66.3500,68.5,65.7500,68.01
266,2019-10-24,66.2500,66.77,65.4000,66.35
267,2019-10-23,65.0900,65.96,64.7400,65.87
268,2019-10-22,65.0400,65.88,64.8600,65.18
269,2019-10-21,65.4500,66.05,64.6700,64.67
270,2019-10-18,63.9000,65.54,63.7800,65.14
271,2019-10-17,63.2900,65.41,63.0700,64.1
272,2019-10-16,63.7500,64.16,62.6100,62.69
273,2019-10-15,62.9500,64.56,62.3200,64.05
274,2019-10-14,62.7300,63.73,62.4500,63.14
275,2019-10-11,62.9100,64.1,62.2900,63.42
276,2019-10-10,60.8000,62.0,60.7300,61.93
277,2019-10-09,60.3000,61.22,60.2400,60.56
278,2019-10-08,59.8900,60.5,59.5600,59.82
279,2019-10-07,61.0000,61.48,60.2600,60.4
280,2019-10-04,60.2500,60.99,59.7200,60.74
281,2019-10-03,58.7800,60.07,58.2400,60.0
282,2019-10-02,59.5300,60.0,58.6600,59.2
283,2019-10-01,61.2600,61.63,60.3300,60.38
284,2019-09-30,62.1600,62.3,60.5200,60.75
285,2019-09-27,61.4000,62.82,60.8500,62.42
286,2019-09-26,59.7000,61.08,59.2500,60.84
287,2019-09-25,59.3100,60.35,58.0500,60.15
288,2019-09-24,55.7300,55.94,54.9600,55.48
289,2019-09-23,54.3500,56.31,54.3500,55.78
290,2019-09-20,54.1300,55.86,54.1200,55.1
291,2019-09-19,54.1100,54.31,53.6300,53.92
292,2019-09-18,53.1900,53.8,52.7300,53.76
293,2019-09-17,51.9900,53.8,51.3000,53.41
294,2019-09-16,53.6400,53.7,51.2800,52.41
295,2019-09-13,53.3700,54.19,52.9800,53.29
296,2019-09-12,53.2200,53.71,52.5400,53.19
297,2019-09-11,55.0000,55.35,53.6100,54.11
298,2019-09-10,53.6700,55.07,53.2100,54.48
299,2019-09-09,52.7200,54.0,52.7200,53.58
300,2019-09-06,52.5600,52.94,51.6100,52.47
301,2019-09-05,51.3400,52.94,50.9300,52.48
302,2019-09-04,50.2000,50.82,49.2600,50.66
303,2019-09-03,48.3200,49.83,47.6200,49.64
304,2019-08-30,48.7600,49.99,48.7300,49.21
305,2019-08-29,46.7600,48.88,46.7300,48.56
306,2019-08-28,45.3100,46.71,44.9100,46.33
307,2019-08-27,46.4600,46.82,45.1100,45.33
308,2019-08-26,46.1200,46.57,45.4400,46.04
309,2019-08-23,46.4500,47.61,45.5600,45.76
310,2019-08-22,47.2300,47.65,46.7000,46.89
311,2019-08-21,47.3800,47.78,46.5000,47.23
312,2019-08-20,46.9900,47.27,46.4800,46.72
313,2019-08-19,47.0000,48.19,46.9100,47.81
314,2019-08-16,45.8500,46.38,45.5400,46.22
315,2019-08-15,44.5100,45.55,43.9600,45.4
316,2019-08-14,46.5500,46.62,44.2700,44.63
317,2019-08-13,46.2300,48.04,45.6400,47.15
318,2019-08-12,47.7600,47.99,46.0900,46.35
319,2019-08-09,49.4400,49.56,48.3700,48.39
320,2019-08-08,48.3200,49.54,48.0600,49.52
321,2019-08-07,48.8000,48.91,47.4000,48.13
322,2019-08-06,51.2700,51.57,49.1400,49.59
323,2019-08-05,52.6000,52.67,49.9400,50.67
