,index,1. open,2. high,3. low,4. close
94,2021-05-19,103.8200,104.29,101.9700,103.2
95,2021-05-18,108.9400,109.06,105.9700,106.18
96,2021-05-17,109.0900,110.88,108.9700,110.81
97,2021-05-14,107.8000,109.82,107.8000,109.47
98,2021-05-13,106.0700,107.87,105.4400,106.68
99,2021-05-12,107.0000,110.15,106.7200,107.37
100,2021-05-11,109.0600,109.58,106.2100,106.7
101,2021-05-10,111.4400,113.11,109.5200,109.57
102,2021-05-07,108.0900,110.6686,107.7000,110.02
103,2021-05-06,108.9500,109.13,107.4200,109.02
104,2021-05-05,107.0900,109.54,106.8200,108.96
105,2021-05-04,105.9600,106.51,104.8500,106.11
106,2021-05-03,103.9800,105.72,103.2200,105.53
107,2021-04-30,104.9800,105.39,102.9700,103.07
108,2021-04-29,106.4200,107.65,105.7500,106.9
109,2021-04-28,103.5400,105.8599,103.3700,105.22
110,2021-04-27,101.8100,103.1,101.5100,102.7
111,2021-04-26,101.2700,102.67,101.2600,101.52
112,2021-04-23,101.1000,102.17,100.7200,101.55
113,2021-04-22,102.8700,102.87,100.8700,100.95
114,2021-04-21,100.3300,102.99,100.1400,102.73
115,2021-04-20,102.8300,102.99,100.5100,101.33
116,2021-04-19,103.2700,103.83,102.2100,103.26
117,2021-04-16,103.8000,104.36,102.4300,102.96
118,2021-04-15,104.0100,104.2699,102.9300,103.42
119,2021-04-14,102.6500,105.33,102.6000,104.27
120,2021-04-13,101.5600,102.6,101.2900,102.24
121,2021-04-12,103.6700,103.86,101.5100,101.78
122,2021-04-09,103.1200,103.68,102.1000,102.92
123,2021-04-08,103.5200,103.62,102.0700,103.02
124,2021-04-07,103.4700,104.57,103.2600,104.19
125,2021-04-06,104.2500,105.08,103.4500,103.58
126,2021-04-05,105.7300,105.83,104.1700,104.51
127,2021-04-01,105.2600,105.86,104.2100,105.75
128,2021-03-31,105.5500,106.22,104.6000,104.79
129,2021-03-30,106.0600,106.83,105.5900,105.93
130,2021-03-29,106.4000,107.53,105.7000,106.92
131,2021-03-26,106.5400,107.54,105.3600,107.48
132,2021-03-25,102.8500,105.26,102.0700,105.07
133,2021-03-24,102.9900,105.76,102.9100,104.7
134,2021-03-23,101.4500,104.3,100.6900,101.97
135,2021-03-22,103.0600,104.5,102.3110,102.54
136,2021-03-19,103.9400,104.89,102.7400,103.38
137,2021-03-18,107.0100,107.53,103.7100,104.12
138,2021-03-17,107.2100,108.5582,106.6000,108.03
139,2021-03-16,108.5300,108.88,107.0800,107.64
140,2021-03-15,111.5300,111.905,108.8900,110.25
141,2021-03-12,111.6400,112.7,110.7205,111.56
142,2021-03-11,111.6500,112.55,110.8900,111.19
143,2021-03-10,110.2000,112.01,109.7000,111.37
144,2021-03-09,109.0700,110.69,107.8800,109.5
145,2021-03-08,109.8600,110.43,108.0600,109.75
146,2021-03-05,106.9600,109.13,106.1500,109.0
147,2021-03-04,104.5150,107.58,103.1300,104.5
148,2021-03-03,103.4100,105.75,103.4000,103.59
149,2021-03-02,101.8900,103.309,101.7100,102.44
150,2021-03-01,102.4600,103.8,101.4000,102.05
151,2021-02-26,100.3000,101.06,97.6100,100.0
152,2021-02-25,104.9000,104.96,101.5900,102.35
153,2021-02-24,100.3300,104.04,99.8100,103.31
154,2021-02-23,99.9700,100.16,96.8000,99.63
155,2021-02-22,96.9900,99.64,96.4600,98.39
156,2021-02-19,95.1300,96.38,94.6500,95.8
157,2021-02-18,95.7500,95.78,94.3000,95.0
158,2021-02-17,95.4200,96.72,94.2000,95.92
159,2021-02-16,93.0500,93.86,92.6100,93.13
160,2021-02-12,91.5300,92.73,91.3500,92.55
161,2021-02-11,92.3700,92.44,90.0800,92.02
162,2021-02-10,91.3800,92.59,90.6000,92.52
163,2021-02-09,91.1000,91.27,89.8100,90.96
164,2021-02-08,90.2900,92.04,90.0100,91.48
165,2021-02-05,89.9400,90.47,88.6400,89.26
166,2021-02-04,89.5100,89.65,87.9450,89.0
167,2021-02-03,87.0500,89.39,86.8900,88.96
168,2021-02-02,88.0100,88.37,86.5300,87.06
169,2021-02-01,85.9900,87.3,84.5700,86.41
170,2021-01-29,86.8300,87.34,84.9200,85.2
171,2021-01-28,88.6700,90.15,88.2500,89.02
172,2021-01-27,87.5300,90.35,86.7450,88.2
173,2021-01-26,92.2000,92.91,89.2700,89.36
174,2021-01-25,90.6200,91.0271,89.3300,90.9
175,2021-01-22,90.4000,92.03,89.8300,91.73
176,2021-01-21,93.8550,94.66,91.2200,92.01
177,2021-01-20,95.0000,95.56,94.3002,95.38
178,2021-01-19,93.5000,95.03,93.2900,94.51
179,2021-01-15,94.2200,94.31,91.7100,92.09
180,2021-01-14,93.9400,96.315,93.7900,95.49
181,2021-01-13,93.2000,93.52,91.9400,93.25
182,2021-01-12,92.6600,93.9209,91.7100,93.34
183,2021-01-11,89.1200,92.1,88.5700,91.6
184,2021-01-08,92.0800,92.43,90.4500,91.08
185,2021-01-07,90.3900,90.82,89.3050,90.22
186,2021-01-06,89.0000,90.78,87.8200,89.8
187,2021-01-05,85.4900,89.22,85.3200,87.0
188,2021-01-04,85.1500,85.95,83.8900,84.71
189,2020-12-31,84.9000,85.195,83.9601,84.45
190,2020-12-30,84.6100,86.575,84.5400,85.33
191,2020-12-29,85.2600,85.7234,84.0500,84.61
192,2020-12-28,85.6100,86.63,84.6200,84.9
193,2020-12-24,85.9300,85.93,84.8100,85.33
194,2020-12-23,85.0000,86.66,85.0000,85.69
195,2020-12-22,85.4400,85.8,84.3000,84.36
196,2020-12-21,84.3500,86.835,83.5300,86.09
197,2020-12-18,87.9800,88.71,86.2600,87.19
198,2020-12-17,89.5400,89.55,87.5500,88.41
199,2020-12-16,89.2000,89.35,87.8500,88.69
200,2020-12-15,89.4200,90.48,88.7700,89.37
201,2020-12-14,93.4000,93.7,89.2400,89.44
202,2020-12-11,92.5250,93.28,91.0300,92.45
203,2020-12-10,91.5500,94.56,90.7756,93.35
204,2020-12-09,92.2000,93.02,89.3700,90.44
205,2020-12-08,90.3400,92.4623,90.1887,91.54
206,2020-12-07,91.8200,92.38,89.8800,90.76
207,2020-12-04,91.2200,93.45,90.9200,93.28
208,2020-12-03,90.5800,91.11,89.0700,89.8
209,2020-12-02,87.2600,91.31,87.1003,89.87
210,2020-12-01,89.2800,89.71,87.0700,87.45
211,2020-11-30,90.0100,90.85,86.9000,87.18
212,2020-11-27,91.3300,92.59,90.5400,91.31
213,2020-11-25,94.6800,94.68,92.1400,92.14
214,2020-11-24,93.3900,95.82,93.0000,95.62
215,2020-11-23,87.4500,91.58,86.7600,91.03
216,2020-11-20,85.7200,86.31,84.8800,85.79
217,2020-11-19,83.5450,85.96,83.0600,85.73
218,2020-11-18,87.3700,87.9,84.2500,84.28
219,2020-11-17,86.4000,87.53,84.8300,87.04
220,2020-11-16,86.2400,89.18,85.5400,88.96
221,2020-11-13,81.1500,83.3482,81.0300,83.03
222,2020-11-12,80.9800,82.24,79.9050,80.67
223,2020-11-11,84.1000,84.49,81.8000,82.46
224,2020-11-10,81.1400,83.15,79.7063,83.07
225,2020-11-09,80.0000,84.27,78.2600,79.4
226,2020-11-06,72.5000,73.27,70.8300,71.15
227,2020-11-05,71.8950,72.97,71.7600,72.14
228,2020-11-04,70.7800,73.59,69.8900,71.77
229,2020-11-03,73.1600,73.3,71.0500,71.74
230,2020-11-02,70.7000,73.08,69.4000,72.15
231,2020-10-30,69.9000,70.11,68.0800,69.5
232,2020-10-29,66.1300,69.14,65.1600,68.8
233,2020-10-28,67.6950,68.08,66.3250,66.88
234,2020-10-27,70.4200,70.6,69.4900,69.51
235,2020-10-26,71.7300,71.8899,70.2400,70.94
236,2020-10-23,73.9300,74.365,71.8266,72.57
237,2020-10-22,70.8800,73.49,70.5700,73.4
238,2020-10-21,71.1300,71.5849,70.7300,70.87
239,2020-10-20,71.9050,72.29,71.0400,71.68
240,2020-10-19,73.1100,73.34,71.1900,71.28
241,2020-10-16,73.5200,74.03,72.2700,72.89
242,2020-10-15,71.8150,73.72,71.3900,73.51
243,2020-10-14,73.2800,74.432,72.9100,72.95
244,2020-10-13,74.7400,74.74,72.7800,73.4
245,2020-10-12,73.6300,74.95,73.2000,74.51
246,2020-10-09,75.8600,76.09,73.9800,74.0
247,2020-10-08,74.3900,75.55,73.9900,75.22
248,2020-10-07,72.1700,73.92,71.5600,73.78
249,2020-10-06,73.8400,74.32,72.2450,72.3
250,2020-10-05,71.5200,72.73,70.7100,72.7
251,2020-10-02,68.9200,71.67,68.8200,71.19
252,2020-10-01,71.5100,71.88,70.0300,70.42
253,2020-09-30,72.2500,72.89,71.6100,72.0
254,2020-09-29,74.0000,74.14,71.1100,71.9
255,2020-09-28,73.6400,74.76,73.1500,73.93
256,2020-09-25,71.0100,72.48,70.7700,71.83
257,2020-09-24,71.2500,73.03,70.5000,71.8
258,2020-09-23,75.5900,75.91,71.8500,71.95
259,2020-09-22,76.1500,77.53,75.3500,75.53
260,2020-09-21,76.2400,76.6522,74.6800,76.3
261,2020-09-18,77.8800,79.15,77.5000,78.21
262,2020-09-17,77.5300,78.85,76.3700,78.79
263,2020-09-16,76.3500,79.48,75.9600,78.56
264,2020-09-15,77.5600,78.48,75.9600,76.35
265,2020-09-14,77.4800,77.98,76.9199,77.29
266,2020-09-11,78.2400,78.69,77.0650,77.69
267,2020-09-10,80.6300,80.89,78.0500,78.15
268,2020-09-09,79.9700,81.07,79.6800,80.03
269,2020-09-08,80.5000,80.58,78.0400,78.97
270,2020-09-04,82.4600,83.635,80.9000,81.93
271,2020-09-03,83.0500,84.49,81.7100,82.28
272,2020-09-02,83.0600,83.96,82.7000,83.19
273,2020-09-01,83.2600,83.63,82.4500,83.08
274,2020-08-31,85.8300,85.9,83.8700,83.93
275,2020-08-28,85.0500,85.73,84.3200,85.63
276,2020-08-27,85.1600,85.63,83.9700,84.91
277,2020-08-26,85.7100,85.84,84.6600,84.78
278,2020-08-25,88.0100,88.04,85.7600,86.13
279,2020-08-24,85.6000,87.34,84.8900,87.2
280,2020-08-21,84.6700,85.09,83.5100,85.08
281,2020-08-20,85.4200,86.89,84.7300,84.81
282,2020-08-19,87.3000,87.9,86.2000,86.39
283,2020-08-18,88.9700,89.37,87.3200,87.63
284,2020-08-17,90.3500,91.58,89.7200,90.77
285,2020-08-14,89.0000,90.59,88.8500,90.35
286,2020-08-13,89.8700,91.28,89.7623,89.82
287,2020-08-12,90.8000,91.66,89.4500,90.72
288,2020-08-11,91.9500,93.01,89.1700,89.62
289,2020-08-10,87.9400,89.76,87.6000,89.73
290,2020-08-07,86.8800,87.11,85.7400,86.8
291,2020-08-06,86.4299,87.9,86.1000,87.47
292,2020-08-05,88.1400,88.43,86.4050,87.2
293,2020-08-04,84.4800,86.72,84.2808,86.49
294,2020-08-03,83.9800,85.14,83.8000,84.81
295,2020-07-31,83.2500,84.1,81.5100,83.94
296,2020-07-30,88.4300,88.495,85.7000,86.27
297,2020-07-29,89.4800,90.08,88.5776,90.07
298,2020-07-28,90.4700,91.17,88.7700,89.11
299,2020-07-27,89.7600,91.09,88.8000,91.04
300,2020-07-24,91.4800,92.74,89.9800,90.13
301,2020-07-23,90.5000,91.38,90.0200,91.01
302,2020-07-22,89.9500,91.25,88.9000,91.04
303,2020-07-21,86.4700,91.73,86.3600,91.39
304,2020-07-20,86.8300,87.49,84.8000,85.27
305,2020-07-17,88.4100,89.11,86.9100,87.19
306,2020-07-16,88.4400,89.48,87.3500,88.36
307,2020-07-15,90.1800,90.19,88.2100,88.89
308,2020-07-14,85.3900,88.6,85.0400,88.35
309,2020-07-13,86.0400,86.93,84.8100,85.4
310,2020-07-10,82.5000,85.42,82.5000,85.23
311,2020-07-09,85.9700,86.32,82.6900,82.74
312,2020-07-08,86.3900,87.8,85.8900,86.35
313,2020-07-07,87.8200,88.08,86.1500,86.31
314,2020-07-06,89.5000,90.25,87.8200,88.57
315,2020-07-02,89.3700,90.36,88.1600,88.31
316,2020-07-01,89.2800,90.77,87.5500,87.62
317,2020-06-30,86.6000,89.99,86.3600,89.23
318,2020-06-29,86.9100,88.5717,86.6000,87.67
319,2020-06-26,88.7800,88.83,86.1800,86.46
320,2020-06-25,87.3100,89.51,87.1600,89.21
321,2020-06-24,89.9900,90.13,86.8600,87.64
322,2020-06-23,92.5000,93.09,91.1800,91.44
323,2020-06-22,90.3200,91.69,89.5900,91.59
324,2020-06-19,94.4100,94.41,90.5500,90.63
325,2020-06-18,91.0000,93.23,90.1000,91.94
326,2020-06-17,93.8300,94.0,91.5000,91.54
327,2020-06-16,94.9900,95.58,91.4900,94.03
328,2020-06-15,89.0900,92.08,88.2100,91.23
329,2020-06-12,93.6200,93.65,90.0100,92.39
330,2020-06-11,92.3000,94.19,89.1200,89.37
331,2020-06-10,101.0000,101.5,97.5600,97.58
332,2020-06-09,100.7000,102.93,99.8300,101.53
333,2020-06-08,102.6300,103.59,100.8700,103.24
334,2020-06-05,99.0800,102.05,99.0500,100.81
335,2020-06-04,96.7800,96.89,95.1600,96.28
336,2020-06-03,95.9700,97.73,95.7500,97.18
337,2020-06-02,93.7800,95.22,93.2900,94.69
338,2020-06-01,90.9400,93.85,90.1100,92.79
339,2020-05-29,90.1900,91.89,89.2600,91.7
340,2020-05-28,93.6100,93.9,90.7900,90.87
341,2020-05-27,94.6800,94.69,92.1100,93.9
342,2020-05-26,92.4900,94.34,92.0300,93.3
343,2020-05-22,91.4500,91.6,89.4700,90.28
344,2020-05-21,92.7700,93.37,91.2800,92.04
345,2020-05-20,91.0000,93.47,90.1800,93.0
346,2020-05-19,92.5300,92.63,89.5300,89.62
347,2020-05-18,92.4000,93.4,91.4600,92.55
348,2020-05-15,90.6500,92.06,88.8300,89.16
349,2020-05-14,87.2900,90.93,86.0200,90.05
350,2020-05-13,89.9000,90.0,87.3200,88.7
351,2020-05-12,93.1300,94.03,91.0000,91.1
352,2020-05-11,94.2100,94.6,93.1800,93.37
353,2020-05-08,95.0000,95.56,94.0700,95.47
354,2020-05-07,92.9800,94.06,91.9100,92.64
355,2020-05-06,92.8500,93.46,89.7700,90.05
356,2020-05-05,94.5000,95.3,92.6800,92.89
357,2020-05-04,88.7600,91.62,87.6900,91.44
358,2020-05-01,91.5100,92.05,87.0400,89.44
359,2020-04-30,93.7200,95.74,90.5800,92.0
360,2020-04-29,92.4800,95.14,92.2900,94.62
361,2020-04-28,89.5500,90.96,88.8300,89.91
362,2020-04-27,86.7500,90.62,85.8700,89.71
363,2020-04-24,88.4800,88.79,85.7700,87.01
364,2020-04-23,86.3000,88.78,85.3900,86.8
365,2020-04-22,84.9500,85.25,82.9700,84.44
366,2020-04-21,80.2800,83.79,79.2500,81.64
367,2020-04-20,82.6600,87.0,82.0900,83.57
368,2020-04-17,81.3300,87.5,81.3200,87.17
369,2020-04-16,81.3100,82.19,78.8100,79.99
370,2020-04-15,80.4600,83.38,79.3200,82.49
371,2020-04-14,85.4600,87.08,84.3300,84.61
372,2020-04-13,87.1800,87.36,83.4000,84.91
373,2020-04-09,88.7400,89.91,81.5200,84.31
374,2020-04-08,82.2900,86.3,81.5200,85.98
375,2020-04-07,84.2600,85.69,80.8500,80.92
376,2020-04-06,77.0000,80.95,75.5100,80.39
377,2020-04-03,78.0000,78.99,73.0300,75.11
378,2020-04-02,71.7500,78.7,69.5800,76.12
379,2020-04-01,69.5100,72.29,67.6100,68.56
380,2020-03-31,73.2700,75.04,70.8100,72.46
381,2020-03-30,68.0100,72.93,67.0200,71.95
382,2020-03-27,72.1200,73.54,68.5000,68.78
383,2020-03-26,70.3000,77.1,67.8900,76.38
384,2020-03-25,68.2900,73.14,66.6400,69.27
385,2020-03-24,61.4800,67.65,60.3200,66.55
386,2020-03-23,58.2600,59.4,52.9700,54.22
387,2020-03-20,59.5300,60.65,56.3600,59.39
388,2020-03-19,55.2600,58.49,51.6000,57.39
389,2020-03-18,66.2100,66.23,54.5700,55.05
390,2020-03-17,70.4000,72.98,65.4900,70.69
391,2020-03-16,72.5700,78.49,69.6900,69.7
392,2020-03-13,79.9800,83.5,74.1100,83.42
393,2020-03-12,77.2300,78.13,72.8600,76.26
394,2020-03-11,82.2300,84.84,81.7500,83.03
395,2020-03-10,86.2400,86.3,81.0400,84.98
396,2020-03-09,82.2300,88.01,80.0000,80.67
397,2020-03-06,93.9200,96.06,93.4200,95.32
398,2020-03-05,95.7100,97.39,94.9400,97.19
399,2020-03-04,96.3700,99.02,95.6700,98.53
400,2020-03-03,96.7900,98.48,93.3700,94.39
401,2020-03-02,94.0200,96.68,92.2100,96.59
402,2020-02-28,90.6300,93.44,90.1100,93.34
403,2020-02-27,95.9500,98.2,94.0800,94.13
404,2020-02-26,100.8600,101.61,98.0000,98.04
405,2020-02-25,104.8000,104.92,100.0000,100.71
406,2020-02-24,105.7100,106.96,104.4200,104.71
407,2020-02-21,108.9900,109.19,107.6500,109.01
408,2020-02-20,110.7800,111.07,109.7000,109.81
409,2020-02-19,110.5200,111.1,109.8900,110.74
410,2020-02-18,109.0000,110.27,108.8300,110.24
411,2020-02-14,110.8400,110.97,109.5800,110.08
412,2020-02-13,111.3700,112.33,111.2300,111.66
413,2020-02-12,112.5100,112.6,111.6100,112.04
414,2020-02-11,110.7800,111.37,110.0600,111.21
415,2020-02-10,108.5400,109.8,108.3200,109.79
416,2020-02-07,108.9300,109.44,108.4700,108.94
417,2020-02-06,110.6300,110.67,109.1100,109.49
418,2020-02-05,108.2700,110.65,108.1100,110.28
419,2020-02-04,107.6800,108.34,106.6000,106.85
420,2020-02-03,106.9500,107.25,105.4000,106.28
421,2020-01-31,109.8100,110.0,106.4000,107.14
422,2020-01-30,109.8100,111.58,109.0600,111.4
423,2020-01-29,111.4500,111.84,110.1800,110.37
424,2020-01-28,110.9800,111.62,110.7700,111.12
425,2020-01-27,110.2500,110.83,109.9800,110.39
426,2020-01-24,112.7900,112.98,111.3400,111.85
427,2020-01-23,112.4000,113.49,111.8600,113.1
428,2020-01-22,113.1000,113.53,112.4600,112.9
429,2020-01-21,115.1000,115.15,113.1700,113.31
430,2020-01-17,117.0100,117.29,115.5200,115.58
431,2020-01-16,116.5600,117.28,116.4500,116.89
432,2020-01-15,116.3000,116.41,115.6500,116.13
433,2020-01-14,116.5000,116.88,115.7100,116.3
434,2020-01-13,116.4700,116.91,116.0800,116.66
435,2020-01-10,117.5200,117.69,116.4000,116.44
436,2020-01-09,117.5900,117.92,116.1800,117.51
437,2020-01-08,118.5500,119.09,117.6500,117.7
438,2020-01-07,119.0200,119.73,117.7700,119.06
439,2020-01-06,121.2400,121.67,120.3300,120.6
440,2020-01-03,121.7800,122.72,120.7400,121.01
441,2020-01-02,120.8100,121.63,120.7700,121.43
442,2019-12-31,119.5000,120.63,119.2500,120.51
443,2019-12-30,120.4400,121.34,119.8100,119.85
444,2019-12-27,120.8900,121.29,120.2400,120.3
445,2019-12-26,120.6700,121.42,120.3400,120.6
446,2019-12-24,120.4300,120.78,120.0900,120.34
447,2019-12-23,119.3100,120.4,119.1500,120.33
448,2019-12-20,119.4000,119.94,118.0900,119.68
449,2019-12-19,118.5700,118.74,117.8600,118.13
450,2019-12-18,118.6800,119.64,118.5200,118.55
451,2019-12-17,119.5900,119.89,118.3300,118.6
452,2019-12-16,118.8600,119.47,118.6100,119.36
453,2019-12-13,119.0500,119.54,117.9000,117.96
454,2019-12-12,116.5900,118.89,116.5900,118.81
455,2019-12-11,117.0900,117.66,116.1300,116.23
456,2019-12-10,118.0300,118.09,117.0500,117.89
457,2019-12-09,116.5200,117.89,116.4400,117.3
458,2019-12-06,117.0900,119.29,116.9800,118.01
459,2019-12-05,117.6200,117.74,116.1900,116.33
460,2019-12-04,116.6400,117.3,116.4300,116.94
461,2019-12-03,116.2000,116.7,115.7000,115.89
